outcome,tract,metric,node,t,p,hemisphere,N,covariates,extent_threshold,cluster_p,passed
SOCIAL_FABias,l_vta_l_hipp,FA,92,-0.3386,0.73652,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,93,-0.3015,0.7644,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,94,-0.2395,0.81184,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,95,-0.1668,0.86828,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,96,-0.1012,0.91981,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,97,-0.0257,0.97961,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,98,0.0744,0.94099,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,99,0.1618,0.8722,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_dprime,l_vta_l_hipp,FA,0,1.2723,0.20979,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,1,1.3561,0.18183,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,2,1.4388,0.15712,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,3,1.5221,0.13499,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,4,1.5726,0.12281,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,5,1.6075,0.11494,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,6,1.6209,0.11203,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,7,1.6327,0.10951,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,8,1.5796,0.12121,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,9,1.5359,0.13157,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,10,1.5212,0.1352,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,11,1.501,0.14033,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,12,1.4738,0.1475,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
SOCIAL_dprime,l_vta_l_hipp,FA,13,1.4282,0.16015,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",23,0.3236,0
